Carrier,Airport_Distance,Number_of_flights,Weather,Support_Crew_Available,Baggage_loading_time,Late_Arrival_o,Cleaning_o,Fueling_o,Security_o,Arr_Delay
UA,437,41300,5,83,17,19,15,26,31,58
UA,451,41516,5,82,17,19,15,22,32,48
AA,425,37404,5,175,16,17,14,28,29,16
B6,454,44798,6,49,18,19,13,29,31,81
DL,455,40643,6,55,17,19,18,26,37,62
UA,416,39707,5,146,16,19,6,28,31,34
B6,439,45627,5,141,16,19,15,21,39,63
EV,446,40415,5,145,17,18,9,25,39,47
B6,441,42248,6,58,17,19,9,17,53,39
AA,456,43453,6,3,18,19,10,24,36,122
B6,458,45677,5,148,17,18,8,24,35,59
B6,479,44826,6,25,18,19,8,26,46,122
UA,442,43420,6,110,16,19,10,25,25,52
UA,435,43774,5,49,17,18,8,23,34,74
AA,436,41059,5,7,17,19,13,24,41,63
B6,479,41678,6,100,17,20,12,29,36,90
UA,442,44390,6,92,17,19,14,25,36,66
B6,420,42055,5,111,16,19,10,24,31,44
MQ,430,47861,6,29,19,20,8,26,39,149
B6,437,42652,6,74,17,19,1,24,36,70
DL,476,48873,6,97,18,20,9,28,33,134
MQ,439,45130,6,31,17,19,14,21,44,71
AA,442,47463,5,85,18,19,4,23,43,101
DL,451,41798,5,53,17,19,8,28,37,58
UA,443,45784,6,55,18,19,8,27,38,93
MQ,458,44658,5,57,18,19,10,26,50,82
UA,441,47323,5,32,18,20,5,22,31,119
B6,466,45470,5,72,17,19,14,29,26,97
B6,464,43637,5,42,17,20,6,23,34,76
DL,434,37687,5,220,16,17,9,24,36,18
US,445,43944,6,89,17,19,16,24,38,88
AA,454,45855,5,61,17,20,13,32,51,95
UA,414,37461,5,148,16,18,7,21,31,16
EV,454,41726,5,67,17,18,2,27,38,61
MQ,452,52765,6,83,18,19,9,28,48,133
US,438,42817,5,147,16,18,5,24,46,38
AA,474,49648,6,96,18,20,14,24,36,129
UA,441,46969,5,11,17,18,5,29,38,87
AA,443,40484,6,96,17,18,9,25,33,44
WN,442,45388,5,120,17,19,15,23,36,67
US,445,41647,5,98,17,19,11,29,38,61
